Onderwerp,Kenmerk
Gegevens over ongemaximeerd cumulatief pensioengevend jaarinkomen vinden in AFAS Profit.,HRM
[SSO I Tegel I URL I InSite} Testomgevingen van BNNVARA en OMROEP ZWART starten niet op.,Algemeen
Licentie aanvraag lukt niet,Algemeen
UPA-aanlevering voor Loyalis toont geen statusveld en geeft foutmelding bij pensioenaangifte.,HRM
"[Btw-aangifte | communicatieprofiel] Versturen btw-aangifte via Taartenwinkel.nl mislukt, communicatielog blijft leeg. bericht staat op Communicatie met digipoort, maar moet CIS zijn",ERP
[Blokkade] Knop voor aanmaken BTW-aangifte in administratie 2 reageert niet.,ERP
"[autonummering] Autonummering projecten reageert niet op 'Startwaarde': ""Geen nummer beschikbaar (volgens instellingen) tijdens autonummering.""",Algemeen
[Connector KnSalesRelationOrg] Foutmelding door onjuiste postcode-indeling bij buitenlandse klanten met Nederlands btw-nummer.,ERP
"[Rapport] Aanmaning voor debiteur printen of mailen, geen printbestand verzonden aan printer. (AntaObject) The foreignkey does not exist in the database. FieldId=Definitiegroep, ForeignkeyId=KnMdA",ERP
[rapport I veld] Lege pagina's met alleen een datum in het verleden bij aanmaningen in Afas.,ERP
"[Onboarden / Woonplaats] Foutmelding bij onboarding: ""Voor land 'D' is de woonplaats 'Elten' niet bekend.""",HRM
"[OHW methode] WIP-methode wijzigen voor projecten met geboekte facturen, foutmelding: journals op verkeerde GL.",ERP
[Inkoopfactuur | Workflow] Facturen voor administratie 8 komen niet in de workflow bij kloppende verplichting.,ERP
Zoeken en verwijderen van AFAS ERP Flex gebruikers lukt niet.,Algemeen
[Journaalpost] Grootboekrekening Te betalen loonheffing komt niet overeen met wat er daadwerkelijk afgedragen wordt in de loonaangifte,HRM
[Debiteur] Foutmelding bij aanpassen / wijzigen verantwoordelijke verkooprelatie: 'Gekozen voorkeur contact is geblokkeerd'.,Algemeen
[Wens] Afwijkende medewerkerscode kan niet aangepast worden via beoordelingspagina bij Onboarden,HRM
[Analyse] Analyse met een overzicht reserveringen vakantietoeslag,HRM
"[Factuurnummers] Gaten in inkoopfactuurnummering / Ontbrekende inkoopfactuurnummers KF250006226, KF25000632 en KF250006258",ERP
"[verzamelfactuur] Automatisch factureren in administratie 7 genereert geen factuur, geen journalisering.",ERP
"[e-factuur] Factuur is via e-factuur ingeboekt, maar niet zichtbaar voor betaling.",ERP
Import itemcode inkooprelatie,ERP
Monitoren op contractverlenging workflow die te lang open staat,ERP
Zoekweergave artikelen bij inkoopaanvraag,ERP
Artikelgroepen onderhouden OCI-profiel,ERP
Rapport inkooporder - itemcode inkooprelatie toevoegen,ERP
[Loonaangifte] xml bestand loonaangifte,HRM
[Belafspraak 15-04 15:00] Afleveradres wordt niet automatisch overgenomen uit voorcalculatie bij bestelvoorstel.,ERP
[Muis klikt niet juist/ op de verkeerde plek in Profit. Hoe kan dit?] Muis reageert onnauwkeurig bij gebruik van 3 schermen met Profit.,Algemeen
"[Facturen | verzonden mail | mailserver] Facturen zijn niet ontvangen door klant sinds 2025, controleer mailserver.",ERP
"[Pocket | inloggen mislukt] AFAS-app werkt niet na iPhone-update; inloggen mislukt, ga naar instellingen.",Algemeen
[Veld werking | witregel | API koppeling] Witruimte tussen regels in het toelichtingsveld bij dossierinvoer via API.,Algemeen
[Pocket] Dossieritemactieknoppen 'Delen' en 'QR-code' niet goed leesbaar bij veel kleuren in huisstijl,Algemeen
Verschil tussen berekende gedeelte salarisverwerking en loonaangifte in Aansluiting financieel,ERP
[Nacalculatie] Verlofsoorten inrichten (verlof naar nacalculatie),HRM
[Workflow] Delegeren en terughalen van inkoopfacturen,ERP
"[Transitorische post] Transitorische verdeling selecteert tussenrekening op basis van bedrag, niet grootboekrekening.",ERP
[Roosterwijziging][Workflow] Geen actieknoppen beschikbaar,HRM
"[Projectboeking / Opbrengst] Projectboeking wordt alleen gemaakt voor kostenrekening, niet voor passiva rekening aan debetzijde, niet voor de omzetrekening aan creditzijde.",ERP
Koppeling Ubeeo en Afas verzendt omschrijving in plaats van code voor vrije velden.,Algemeen
[Itemcode verkooprelatie | management en autorisatie tool] Tabbladen voor itemcode verkooprelatie zijn niet zichtbaar in autorisatie- en management tool.,ERP
"Weken 1 t/m 6 worden altijd getoond bij werkrooster onboarden, ook als het aantal weken kleiner is dan 6",HRM
"[Wens I Prijslijst I Alle I Weergave] Lijst maken met prijzen per artikel in AFas ordermanagement lukt niet, niet alle prijslijsten zichtbaar.",ERP
[Transitievergoeding] Hoe voeg je op de juiste manier een transitievergoeding toe?,HRM
[Aanvullend geboorteverlof][Inrichting] Aanvullend geboorteverlof - uitkering wordt vanuit UWV aan medewerker uitbetaald,HRM
Geen aantal uren zichtbaar in LC 26921 bij analyse KA_Medewerker journaalpost per kostenplaats 1.,HRM
[ABN ARMO] [API koppeling] Probleem bij ophalen bankafschriften en transactiecodes na uitbreiding bankkoppeling. Bankafschriftnummer wordt niet gevuld en transactiescodes werken niet.,ERP
[Datacenters] Gegevensopslag in AFAS: exacte adressen van datacenters in Nederland vereist.,Algemeen
[Sollicitanten] Geen autorisatie op sollicitant / vacature via selectie,HRM
"[Pensioenaangifte] Aangiften zijn onverwerkbaar door foutief aansluitnummer; melding: ""Er zijn geen gegevens gevonden voor deze werkgever/jaar/periode.""",HRM
[managementtool][vrije velden][zichtbaarheid in Profit] Velden in tabblad cursus zijn niet zichtbaar in Profit,HRM
[Weergave] Einddatum contract is niet leeg | wordt gevuld met waarde vorige contract,HRM
[Weergave] Einddatum contract is niet leeg | wordt gevuld met waarde vorige contract,HRM
"Hoe richt ik in dat een gebruiker via InSite niet via het reactie onderdeel een reactie kan toevoegen, maar dat dit altijd via de workflowactie moet?",ERP
Gegevens in Profit kunnen niet gekopieerd worden na belangrijke update.,Algemeen
Eigen pagina voor Finance op InSite met takenlijst voor declaraties.,Algemeen
Kenmerk 2 '241 Verzuim' is niet zichtbaar bij het type dossieritem.,Algemeen
[Wens] Bestemming van vrije type dossieritems niet zichtbaar bij 'Starten in aanpassen' in workflow.,Algemeen
Foutmelding bij verlofregistratie verhindert registratie tijdelijke vervanger in HRM.,Algemeen
"[Blokkeringen] Functie 'herb. cumulatieven' opent niet meer na administratie-update, alleen herbereken activa werkt.",ERP
[Beoordelen Adreswijziging] Kan de waarde van de parameter niet opslaan; overlapt met een andere parameterwaarde,HRM
[InSite | niet geautoriseerd | gegevensfilter | inkoopfactuur] Autorisatieprobleem bij toegang tot materieelbeheer in Afas Insite: geen toegang.,ERP
"Inhouding HOP premie wordt niet meegenomen in grondslag ""WAS: Netto equivalent minimumloon"".",Algemeen
"HEIC-bestanden kunnen niet geopend worden; foutmelding: ""DE HEVC-videoextensie is vereist om dit bestand weer te geven.""",HRM
[Automatisch Factureren] Facturen met datum 31/03/2025 voor verlenging abonnementen in boekjaar 2024.,ERP
[Outlook] Gebruik van vastlegknop in Outlook: rode/blauwe of blauwe A?,Algemeen
Foutmelding bij aanmaken inkooprelatie: 'De ingevulde waarde voor veld 'Woonplaats' bestaat niet'.,Algemeen
