Onderwerp,Toelichting,Kenmerk
Gegevens over ongemaximeerd cumulatief pensioengevend jaarinkomen vinden in AFAS Profit.,"Probleembeschrijving: Voor ASR Loyalis moeten we het ongemaximeerd cumulatief pensioengevend jaarinkomen doorgeven over 2024. Waar haal ik deze gegevens uit AFAS Profit? Aanvullende details: - Kun je aangeven waar je precies tegenaan loopt bij het vinden van het ongemaximeerd cumulatief pensioengevend jaarinkomen in AFAS Profit? - Weet niet waar ik dit in het menu moet vinden in profit. - Kun je toelichten welke stappen je al hebt ondernomen om deze gegevens te vinden? - helpcentre gecheckt, geen meldingen gevonden hierover. - Kun je bevestigen of je toegang hebt tot de relevante module in AFAS Profit waar deze gegevens beschikbaar zouden moeten zijn? - Ja, voldoende toegang HRM deel",HRM
[SSO I Tegel I URL I InSite} Testomgevingen van BNNVARA en OMROEP ZWART starten niet op.,Probleembeschrijving: De testomgeving van BNNVARA en OMROEP ZWART zijn plots niet meer op te starten. Aanvullende details: - Waar loop je precies tegenaan? - Insite van de testomgevingen start niet op - Sinds wanneer speelt dit? - Sinds kort. Eerder op de dag werkte het nog - Tot wanneer werkte het nog wel? Is er sindsdien iets gewijzigd/aangepast? Wat is er vanaf dat moment veranderd? - Eerder op de dag werkte het nog.,Algemeen
Licentie aanvraag lukt niet,aanvraag zelf verhogen lukt niet,Algemeen
UPA-aanlevering voor Loyalis toont geen statusveld en geeft foutmelding bij pensioenaangifte.,"Probleembeschrijving: Wij lopen tegen een vreemde situatie aan betreffende de UPA-aanlevering voor Loyalis. De inrichting is gedaan conform instructie en alles staat goed: instantie, instantie bij werkgever, communicatieprofiel, instantie bij medewerkers. Echter lijkt de activering ""Uniforme Pensioenaanlevering) (die wel staat aangevinkt) niet volledig te zijn. Ik leid dit af vanuit het feit dat de weergave van de aangiftecockpit niet het UPA statusveld toont. Er is wel een actieknop pensioenaangifte, maar dan verschijnt de foutmelding (zie details). In de bijlage screenshots van de inrichting en de activering. Hebben jullie dit eerder meegemaakt? Aanvullende details: - Kun je precies aangeven welke foutmelding verschijnt wanneer je de pensioenaangifte probeert te openen? - Kan de pensioenaangifte niet openen. De aangifteregel heeft de status pensioenaangifte 'Niet van toepassing'. De pensioenaangifte bevat geen verschillen ten opzichte van de voorgaande pensioenaangifte in dezelfde periode of de pensioenaangifte is niet (volledig) ingericht. ================================================================ Description.....: [MESSAGE]: Kan de pensioenaangifte niet openen. De aangifteregel heeft de status pensioenaangifte 'Niet van toepassing'. De pensioenaangifte bevat geen verschillen ten opzichte van de voorgaande pensioenaangifte in dezelfde periode of de pensioenaangifte is niet (volledig) ingericht. Type............: Afas.Profit.MessageException HResult.........: -2146233088 (0x80131500) Source..........: AfasHrPayroll TargetSite......: Void StartPension(Afas.Profit.Forms.RowAction, Afas.Profit.Forms.RowActionEventArgs) DeclaringType...: AfasHrPayroll.AfasHrTaxView, AfasHrPayroll ProductVersion..: 209.14008.46994160+20250120132022.R1.2b9474884b32b01917fd249ae82e46994d16aee0 ---------------- Action Id.......: Pensioenaangifte Action Form.....: AfasHrPayroll.AfasHrTaxView Action View.....: (Hr, 93FAFD1C40F615BAC92F53A1839FD23C) ================================================================ at void AfasHrPayroll.AfasHrTaxView.StartPension(RowAction parSender, RowActionEventArgs parEventArgs) in C:/Dev/profit-release/08/src/Human Resource/Projects/AfasHrPayroll/Class Modules/AfasHrTaxView.vb:line 411 at void System.Collections.Generic.List<T>.ForEach(Action<T> action) at void Afas.Profit.Forms.ActionBase.InternalExecute() in C:/Dev/profit-release/08/src/Anta/Projects/Cool Projects/Afas.Profit.Forms/FormDefinitions/ActionBase.cs:line 383 at void Afas.Profit.Forms.ActionBase.ForceExecute() in C:/Dev/profit-release/08/src/Anta/Projects/Cool Projects/Afas.Profit.Forms/FormDefinitions/ActionBase.cs:line 343 ================================================================ Version.........: 2.9.1400.8 EnvironmentId...: O89714AA UserId..........: 88183.dvschaik AppMode.........: 0 Time............: 07-04-2025 15:40:35.454 +02:00 Session.........: AFAS\88183.dvschaik on AFAS\XENAPPP29071$ UnitId..........: 1 MemberId........: 89714 MemberNumber....: 89714 - Kun je bevestigen of de UPA-statusvelden correct zijn geconfigureerd in de aangiftecockpit? - Nee, zie mijn tekst daar gaat het juist om. - Kun je aangeven of er wijzigingen zijn doorgevoerd in de configuratie sinds de laatste succesvolle werking? - Er is geen succesvolle verwerking geweest.",HRM
"[Btw-aangifte | communicatieprofiel] Versturen btw-aangifte via Taartenwinkel.nl mislukt, communicatielog blijft leeg. bericht staat op Communicatie met digipoort, maar moet CIS zijn","Probleembeschrijving: Goedemiddag, Bij Taartenwinkel.nl lukt het niet om de btw-aangifte via het systeem te versturen. Er wordt geen communicatie opgestart. Wanneer ik in het communicatielog kijk, dan blijft dit leeg, ondanks het feit dat alle instellingen aangepast en gecontroleerd zijn voor Taartenwinkel.nl. Taartenwinkel.nl is onlangs overgestapt van hun accountantsomgeving 63263 naar een eigen omgeving op een eigen licentie (33092). Op de ""oude"" omgeving werden de aangiftes correct verstuurd. Zouden jullie wellicht kunnen kijken wat er mis gaat? Voor mij heeft het er alle schijn van dat de verzending nog op de oude omgeving staat of iets dergelijks. Communicatieomgeving = huidige omgeving Communicatieprofiel CIS is gedeblokkeerd met status ""Actief, gekoppeld met AFAS Online Digipoort-service"" Communicatieprofiel OTP is geblokkeerd BTW-identificatienummer administratie is ingevuld Omzetbelastingnummer administratie is ingevuld Aangifte is definitief gemaakt en klaargezet voor verzending Administratie-eigenschappen zijn volledig ingevuld De aangifte in kwestie is aangemaakt, definitief gemaakt en klaargezet voor verzending voordat het digipoort certificaat was aangepast. Ik wilde Taartenwinkel.nl de aangifte laten verwijderen en opnieuw laten genereren om te kijken of het na de aanpassing beter gaat in een nieuwe aangifte, maar dat lukt uiteraard niet omdat de aangifte al definitief is. Alvast bedankt! Hartelijke groet, Isabella van Wely Van Wely Project Solutions Aanvullende details: - Kun je bevestigen of de communicatieomgeving correct is ingesteld voor de nieuwe licentie? - ja - Kun je aangeven of er foutmeldingen verschijnen bij het verzenden van de aangifte? - ja, er zijn geen foutmeldingen, communicatielog geeft code niveau ""I"" - bericht ID, deelnemer en informatie blijven leeg - Kun je controleren of de instellingen voor de Digipoort-service overeenkomen met de nieuwe omgeving? - Digipoort is volgens help instructies ingericht",ERP
[Blokkade] Knop voor aanmaken BTW-aangifte in administratie 2 reageert niet.,"Probleembeschrijving: In administratie 2 is het aanmaken van een BTW aangifte niet meer mogelijk. De knop reageert niet. Andere administratie werken nog normaal. er zijn geen wijzigingen in de instellingen gedaan, zover bekend, Aanvullende details: - Kun je precies aangeven welke foutmelding of gedrag je ervaart wanneer je op de knop klikt? - geen foutmelding - Sinds wanneer speelt dit probleem in administratie 2? - 7-4-2025 - Hebben er ooit wijzigingen plaatsgevonden in administratie 2 die mogelijk invloed hebben gehad op de BTW-aangifte functie? - nee, herberekenen is al uitgevoerd.",ERP
"[autonummering] Autonummering projecten reageert niet op 'Startwaarde': ""Geen nummer beschikbaar (volgens instellingen) tijdens autonummering.""","Probleembeschrijving: Autonummering projecten reageert niet op de instelling 'Startwaarde'. Nadat ik voor intern gebruik het projectnummer 999999 heb aangemaakt geeft de autonummering de foutmelding ""Geen nummer beschikbaar (volgens instellingen) tijdens autonummering."" Ik kan wel gewoon het project aanmaken zonder de autonummering Aanvullende details: - Waar loop je precies tegenaan? Kun je beschrijven wat er gebeurt en wat je verwacht? - Ik verwacht het juiste nummer - Welke stappen doorloop je om de foutmelding te krijgen? - Autonummering uitschakelen - Wat zijn de instellingen van de autonummering voor projecten? Kun je deze delen? - Begin bij n ummer 100",Algemeen
[Connector KnSalesRelationOrg] Foutmelding door onjuiste postcode-indeling bij buitenlandse klanten met Nederlands btw-nummer.,Probleembeschrijving: Wij hebben klanten uit het buitenland die een nederlands btw nummer hebben. Hier krijgen wij foutmeldingen op omdat de postcode niet aan de vereiste indeling voldoet. Klopt want het is geen Nederlands adres maar wel een binnenlandse transactie. Hoe los ik het op dat deze melding niet constant terug komt ? Aanvullende details: - _Kun je precies aangeven welke foutmelding wordt weergegeven?_ - zie bestand - _Welke stappen doorloop je wanneer deze melding verschijnt?_ - ik verwijder de melding - _Heb je geprobeerd de postcode-indeling aan te passen of een alternatieve invoer te gebruiken?_ - adressen worden geimporteerd,ERP
"[Rapport] Aanmaning voor debiteur printen of mailen, geen printbestand verzonden aan printer. (AntaObject) The foreignkey does not exist in the database. FieldId=Definitiegroep, ForeignkeyId=KnMdA",Probleembeschrijving: Ik wil de aanmaning voor een debiteur printen en/of mailen. Er is echter een foutmelding die ik niet kan oplossen? Aanvullende details: - Waar loop je precies tegenaan? Kun je de foutmelding beschrijven? - Er wordt geen print bestand verzonden aan de printer - Welke stappen doorloop je? Kun je precies aangeven waar de foutmelding verschijnt? - Op het eind van het aanmaken van een aanmaning - Heeft het ooit gewerkt? - nee,ERP
[rapport I veld] Lege pagina's met alleen een datum in het verleden bij aanmaningen in Afas.,"Probleembeschrijving: Wij hebben in Afas aanmaningen klaar gezet. In Merlin en in Lincsafe (admin 1 en 6) en in beide zitten lege pagina's waar alleen een datum in het verleden op staat. 2 weken terug is dit voor het eerst voorgekomen. Nu zitten er een aantal lege paginas tussen, wij kunnen deze nu niet versturen aan de klanten. Kunnen jullie meekijken? Ik ben vandaag na 13:30 bereikbaar. Aanvullende details: - Waar loop je precies tegenaan? - zie bovenstaande omschrijving - Welke stappen doorloop je? Voeg hierboven een bijlage toe van het scherm waarin je je bevindt. - Aanmaningen genereren - Wat heb je zelf al geprobeerd om dit op te lossen? - .",ERP
